dep_epci;siren_epci;nom_complet;nj_epci2015;fisc_epci2015;nb_com_epci_2015;ptot_epci_2015;pmun_epci_2015;dep_com;insee;siren_com;nom_com;ptot_2015;pmun_2015
01;240100339;CC du Canton de Saint Trivier de Courtes;CC;FPU;12;6423;6322;01;01124;210101242;Cormoz;679;670
01;240100339;CC du Canton de Saint Trivier de Courtes;CC;FPU;12;6423;6322;01;01128;210101283;Courtes;275;272
01;240100339;CC du Canton de Saint Trivier de Courtes;CC;FPU;12;6423;6322;01;01139;210101390;Curciat-Dongalon;458;451
01;240100339;CC du Canton de Saint Trivier de Courtes;CC;FPU;12;6423;6322;01;01212;210102125;Lescheroux;691;688
01;240100339;CC du Canton de Saint Trivier de Courtes;CC;FPU;12;6423;6322;01;01230;210102307;Mantenay-Montlin;312;302
01;240100339;CC du Canton de Saint Trivier de Courtes;CC;FPU;12;6423;6322;01;01364;210103644;Saint-Jean-sur-Reyssouze;750;735
01;240100339;CC du Canton de Saint Trivier de Courtes;CC;FPU;12;6423;6322;01;01367;210103677;Saint-Julien-sur-Reyssouze;743;735
01;240100339;CC du Canton de Saint Trivier de Courtes;CC;FPU;12;6423;6322;01;01380;210103800;Saint-Nizier-le-Bouchoux;699;682
01;240100339;CC du Canton de Saint Trivier de Courtes;CC;FPU;12;6423;6322;01;01388;210103883;Saint-Trivier-de-Courtes;1101;1080
01;240100339;CC du Canton de Saint Trivier de Courtes;CC;FPU;12;6423;6322;01;01406;210104063;Servignat;168;166
01;240100339;CC du Canton de Saint Trivier de Courtes;CC;FPU;12;6423;6322;01;01433;210104337;Vernoux;321;319
01;240100339;CC du Canton de Saint Trivier de Courtes;CC;FPU;12;6423;6322;01;01437;210104378;Vescours;226;222
01;240100370;CC du Valromey;CC;FA;15;4202;4063;01;01036;210100368;Belmont-Luthézieu;544;526
01;240100370;CC du Valromey;CC;FA;15;4202;4063;01;01059;210100590;Brénaz;94;92
01;240100370;CC du Valromey;CC;FA;15;4202;4063;01;01079;210100798;Champagne-en-Valromey;812;788
01;240100370;CC du Valromey;CC;FA;15;4202;4063;01;01097;210100970;Chavornay;221;212
01;240100370;CC du Valromey;CC;FA;15;4202;4063;01;01176;210101762;Le Grand-Abergement;122;117
01;240100370;CC du Valromey;CC;FA;15;4202;4063;01;01187;210101879;Hotonnes;314;300
01;240100370;CC du Valromey;CC;FA;15;4202;4063;01;01218;210102182;Lochieu;101;96
01;240100370;CC du Valromey;CC;FA;15;4202;4063;01;01221;210102216;Lompnieu;126;122
01;240100370;CC du Valromey;CC;FA;15;4202;4063;01;01292;210102927;Le Petit-Abergement;144;135
01;240100370;CC du Valromey;CC;FA;15;4202;4063;01;01330;210103305;Ruffieu;215;198
01;240100370;CC du Valromey;CC;FA;15;4202;4063;01;01409;210104097;Songieu;133;129
01;240100370;CC du Valromey;CC;FA;15;4202;4063;01;01414;210104147;Sutrieu;233;232
01;240100370;CC du Valromey;CC;FA;15;4202;4063;01;01415;210104154;Talissieu;438;432
01;240100370;CC du Valromey;CC;FA;15;4202;4063;01;01442;210104428;Vieu;392;378
01;240100370;CC du Valromey;CC;FA;15;4202;4063;01;01453;210104535;Virieu-le-Petit;313;306
01;240100396;CC de la Vallée de l'Albarine;CC;FA;12;5544;5429;01;01013;210100137;Arandas;165;160
01;240100396;CC de la Vallée de l'Albarine;CC;FA;12;5544;5429;01;01017;210100178;Argis;432;424
01;240100396;CC de la Vallée de l'Albarine;CC;FA;12;5544;5429;01;01076;210100764;Chaley;145;140
01;240100396;CC de la Vallée de l'Albarine;CC;FA;12;5544;5429;01;01107;210101077;Cleyzieu;143;139
01;240100396;CC de la Vallée de l'Albarine;CC;FA;12;5544;5429;01;01111;210101119;Conand;109;107
01;240100396;CC de la Vallée de l'Albarine;CC;FA;12;5544;5429;01;01155;210101556;Evosges;148;144
01;240100396;CC de la Vallée de l'Albarine;CC;FA;12;5544;5429;01;01186;210101861;Hostiaz;85;85
01;240100396;CC de la Vallée de l'Albarine;CC;FA;12;5544;5429;01;01277;210102778;Nivollet-Montgriffon;128;127
01;240100396;CC de la Vallée de l'Albarine;CC;FA;12;5544;5429;01;01279;210102794;Oncieu;95;95
01;240100396;CC de la Vallée de l'Albarine;CC;FA;12;5544;5429;01;01384;210103842;Saint-Rambert-en-Bugey;2266;2216
01;240100396;CC de la Vallée de l'Albarine;CC;FA;12;5544;5429;01;01416;210104162;Tenay;1105;1085
01;240100396;CC de la Vallée de l'Albarine;CC;FA;12;5544;5429;01;01421;210104212;Torcieu;723;707
01;240100412;CC Rhône - Chartreuse de Portes;CC;FA;11;5041;4959;01;01037;210100376;Bénonces;281;277
01;240100412;CC Rhône - Chartreuse de Portes;CC;FA;11;5041;4959;01;01064;210100640;Briord;932;919
01;240100412;CC Rhône - Chartreuse de Portes;CC;FA;11;5041;4959;01;01182;210101820;Groslée;362;357
01;240100412;CC Rhône - Chartreuse de Portes;CC;FA;11;5041;4959;01;01190;210101903;Innimond;119;117
01;240100412;CC Rhône - Chartreuse de Portes;CC;FA;11;5041;4959;01;01216;210102166;Lhuis;888;873
01;240100412;CC Rhône - Chartreuse de Portes;CC;FA;11;5041;4959;01;01219;210102190;Lompnas;158;154
01;240100412;CC Rhône - Chartreuse de Portes;CC;FA;11;5041;4959;01;01233;210102331;Marchamp;132;129
01;240100412;CC Rhône - Chartreuse de Portes;CC;FA;11;5041;4959;01;01255;210102554;Montagnieu;548;537
01;240100412;CC Rhône - Chartreuse de Portes;CC;FA;11;5041;4959;01;01280;210102802;Ordonnaz;154;153
01;240100412;CC Rhône - Chartreuse de Portes;CC;FA;11;5041;4959;01;01400;210104006;Seillonnaz;144;141
01;240100412;CC Rhône - Chartreuse de Portes;CC;FA;11;5041;4959;01;01403;210104030;Serrières-de-Briord;1323;1302
01;240100578;CC du Plateau d'hauteville;CC;FPU;8;6489;6226;01;01012;210100129;Aranc;319;311
01;240100578;CC du Plateau d'hauteville;CC;FPU;8;6489;6226;01;01080;210100806;Champdor;480;466
01;240100578;CC du Plateau d'hauteville;CC;FPU;8;6489;6226;01;01119;210101192;Corcelles;250;238
01;240100578;CC du Plateau d'hauteville;CC;FPU;8;6489;6226;01;01121;210101218;Corlier;122;119
01;240100578;CC du Plateau d'hauteville;CC;FPU;8;6489;6226;01;01122;210101226;Cormaranche-en-Bugey;887;815
01;240100578;CC du Plateau d'hauteville;CC;FPU;8;6489;6226;01;01185;210101853;Hauteville-Lompnes;4069;3921
01;240100578;CC du Plateau d'hauteville;CC;FPU;8;6489;6226;01;01311;210103115;Prémillieu;43;42
01;240100578;CC du Plateau d'hauteville;CC;FPU;8;6489;6226;01;01417;210104170;Thézillieu;319;314
01;240100594;CC Val de Saône - Chalaronne;CC;FPU;7;8650;8428;01;01167;210101671;Garnerans;684;663
01;240100594;CC Val de Saône - Chalaronne;CC;FPU;7;8650;8428;01;01188;210101887;Illiat;605;583
01;240100594;CC Val de Saône - Chalaronne;CC;FPU;7;8650;8428;01;01252;210102521;Mogneneins;780;751
01;240100594;CC Val de Saône - Chalaronne;CC;FPU;7;8650;8428;01;01295;210102950;Peyzieux-sur-Saône;590;576
01;240100594;CC Val de Saône - Chalaronne;CC;FPU;7;8650;8428;01;01348;210103487;Saint-Didier-sur-Chalaronne;2854;2776
01;240100594;CC Val de Saône - Chalaronne;CC;FPU;7;8650;8428;01;01351;210103511;Saint-Etienne-sur-Chalaronne;1530;1490
01;240100594;CC Val de Saône - Chalaronne;CC;FPU;7;8650;8428;01;01420;210104204;Thoissey;1607;1589
01;240100610;CC du Canton de Montluel;CC;FPU;9;24243;23713;01;01027;210100277;Balan;2890;2785
01;240100610;CC du Canton de Montluel;CC;FPU;9;24243;23713;01;01032;210100327;Béligneux;3259;3172
01;240100610;CC du Canton de Montluel;CC;FPU;9;24243;23713;01;01049;210100491;La Boisse;2962;2903
01;240100610;CC du Canton de Montluel;CC;FPU;9;24243;23713;01;01062;210100624;Bressolles;809;777
01;240100610;CC du Canton de Montluel;CC;FPU;9;24243;23713;01;01142;210101424;Dagneux;4224;4169
01;240100610;CC du Canton de Montluel;CC;FPU;9;24243;23713;01;01262;210102620;Montluel;7245;7112
01;240100610;CC du Canton de Montluel;CC;FPU;9;24243;23713;01;01276;210102760;Niévroz;1542;1502
01;240100610;CC du Canton de Montluel;CC;FPU;9;24243;23713;01;01297;210102976;Pizay;780;770
01;240100610;CC du Canton de Montluel;CC;FPU;9;24243;23713;01;01342;210103420;Sainte-Croix;532;523
01;240100628;CA Bourg en Bresse Agglomération;CA;FPU;15;74845;71826;01;01053;210100533;Bourg-en-Bresse;42146;40171
01;240100628;CA Bourg en Bresse Agglomération;CA;FPU;15;74845;71826;01;01065;210100657;Buellas;1762;1714
01;240100628;CA Bourg en Bresse Agglomération;CA;FPU;15;74845;71826;01;01145;210101457;Dompierre-sur-Veyle;1226;1192
01;240100628;CA Bourg en Bresse Agglomération;CA;FPU;15;74845;71826;01;01195;210101952;Jasseron;1711;1664
01;240100628;CA Bourg en Bresse Agglomération;CA;FPU;15;74845;71826;01;01211;210102117;Lent;1412;1385
01;240100628;CA Bourg en Bresse Agglomération;CA;FPU;15;74845;71826;01;01259;210102596;Montcet;668;655
01;240100628;CA Bourg en Bresse Agglomération;CA;FPU;15;74845;71826;01;01264;210102646;Montracol;1003;984
01;240100628;CA Bourg en Bresse Agglomération;CA;FPU;15;74845;71826;01;01289;210102893;Péronnas;6431;6095
01;240100628;CA Bourg en Bresse Agglomération;CA;FPU;15;74845;71826;01;01301;210103016;Polliat;2432;2374
01;240100628;CA Bourg en Bresse Agglomération;CA;FPU;15;74845;71826;01;01336;210103362;Saint-André-sur-Vieux-Jonc;1144;1118
01;240100628;CA Bourg en Bresse Agglomération;CA;FPU;15;74845;71826;01;01344;210103446;Saint-Denis-lès-Bourg;5695;5504
