version_longue,abbrev
VING TROIS,23
PREMIER,1E
PREMIERE,1E
DEUXIEME,2E
TROISIEME,3E
QUATRIEME,4E
CINQUIEME,5E
SIXIEME,6E
SEPTIEME,7E
HUITIEME,8E
NEUVIEME,9E
DIXIEME,10E
ONZIEME,11E
DOUZIEME,12E
TREIZIEME,13E
QUATORZIEME,14E
QUINZIEME,15E
SEIZIEME,16E
VINGTIEME,20E
CENTIEME,100E
JANVIER,JAN
JANV,JAN
FEVRIER,FEV
JUILLET,JUIL
OCTOBRE,OCT
SEPTEMB,SEPTEMBRE
NOVEMBRE,NOV
DECEMBRE,DEC
