fantoir_ban,fantoir_bano,voie,nb_ban,nb_bano,diff
1999,,parvis des chartrons,14,,14
0620,0620,passage bardos,5,5,0
0775,0775,passage bel-air,14,15,-1
0876,0876,passage bernard jabouin,3,4,-1
0895,0895,passage bertin,11,20,-9
0945,0945,passage birly,48,50,-2
"",,passage bordefranque,1,,1
1241,1241,passage bremontier,10,12,-2
1255,1255,passage brian,1,2,-1
1320,1320,passage buhan,7,7,0
1375,1375,passage cairon,30,31,-1
1490,1490,passage cantecric,1,3,-2
6865,6865,passage de la paix,3,2,1
"",,passage de l'arceau,1,,1
"",,passage de la tour de gassies,1,,1
9385,9385,passage de la villa,23,24,-1
2540,2540,passage delcruzel,9,21,-12
0661,0661,passage de l'évêché,1,9,-8
4435,4435,passage de l'hôpital,19,19,0
6925,6925,passage de paris,3,7,-4
0360,0360,passage des argentiers,7,7,0
"",,passage des graves,44,,44
,4186,Passage des Graves,,20,-20
8951,8951,passage des marronniers,4,4,0
6077,6077,passage des marronniers,6,7,-1
2610,2610,passage despujols,3,1,2
9360,9360,passage des vignerons,10,10,0
,2775,Passage Doriot,,1,-1
7680,7680,passage du puits,4,3,1
,2970,Passage Durand,,2,-2
3425,3425,passage feger,9,8,1
3440,3440,passage félix faure,3,1,2
3690,3690,passage françois ducom,20,21,-1
"",,passage fronsac,7,,7
,3756,Passage Fronsac,,6,-6
3762,3762,passage furt,8,7,1
3870,3870,passage gaugeacq,8,8,0
4200,4200,passage grenier,8,5,3
4405,4405,passage hermitte,43,54,-11
4895,4895,passage kieser,31,36,-5
5000,5000,passage lacussan,3,6,-3
5060,5060,passage lafontaine,10,18,-8
5120,5120,passage laliment,3,3,0
5445,5445,passage lestonnat,4,4,0
5474,5474,passage leydet,5,3,2
5925,5925,passage marcel,13,13,0
6110,6110,passage martin videau,4,6,-2
6540,6540,passage moreau,13,17,-4
6562,6562,passage morton,1,6,-5
,6715,Passage Nicot,,11,-11
6740,6740,passage notre-dame,5,7,-2
6760,6760,passage nungesser,5,4,1
6905,6905,passage pambrun,2,1,1
7965,7965,passage robert picque,3,7,-4
8520,8520,passage sarget,11,17,-6
8870,8870,passage terrasson,18,21,-3
9020,9020,passage tourney,13,12,1
9180,,passage vandebrande,1,,1
0730,0730,passe beaujau,6,6,0
3795,3795,passe de la galerie bordelaise,17,30,-13
7956,7956,passe robert cami,1,1,0
8485,8485,petite rue de saintonge,13,16,-3
0220,0220,place amédée larrieu,23,23,0
0235,0235,place amélie raba léon,11,10,1
0265,0265,place andré donis,9,12,-3
0295,0295,place andré meunier dit mureine,17,25,-8
0300,0300,place andré recapet,9,8,1
0610,0610,place bardineau,4,4,0
0940,0940,place bir hakeim,12,14,-2
1390,1390,place calixte camelle,10,10,0
1440,1440,place camille jullian,9,15,-6
1445,1445,place camille pelletan,8,7,1
1460,1460,place campeyraut,3,3,0
1495,1495,place canteloup,10,10,0
"",,place casablanca,6,,6
,1627,Place Casablanca,,6,-6
1940,1940,place charles gruet,22,23,-1
2395,2395,place croix de lestonnat,2,4,-2
1155,1155,place de la bourse,9,12,-3
2195,2195,place de la comédie,3,4,-1
3475,3475,place de la ferme richemont,23,26,-3
9285,9285,place de la victoire,32,35,-3
3100,3100,place de l'église saint-augustin,19,13,6
5420,5420,place delerme,7,13,-6
"",,place de lestonnat,3,,3
3320,3320,place de l'europe,7,10,-3
5485,5485,place de leyre,13,8,5
6808,6808,place de l'orme,9,11,-2
6570,,place de moscou,1,,1
1555,1555,place des capucins,49,53,-4
1735,1735,place des cèdres,11,11,0
4150,4150,place des grands hommes,13,12,1
5210,5210,place des martyrs de la résistance,1,12,-11
6120,6120,place des martyrs de la résistance,65,66,-1
7730,7730,place des quinconces,20,18,2
8755,8755,place de stalingrad,25,27,-2
9095,9095,place des tridons,4,2,2
9170,9170,place de valmy,4,6,-2
6795,,place du 11 novembre,1,,1
7710,7710,place du 14 juillet,2,1,1
2845,2845,place duburg,6,7,-1
1528,,place du capitaine dutertre,1,,1
1565,1565,place du cardinal donnet,3,3,0
1820,1820,place du champ de mars,7,9,-2
1885,1885,place du chapelet,2,3,-1
2180,2180,place du colonel raynal,3,6,-3
2800,2800,place du doyen poplawski,4,4,0
5960,5960,place du marche des chartrons,9,10,-1
6175,6175,place du maucaillou,16,18,-2
6870,6870,place du palais,20,21,-1
6930,6930,place du parlement,16,17,-1
7520,7520,place du pradeau,5,6,-1
